symbol,rule_variant,target_variant,target_ratio,observations,eligible_setups,entries,wins,losses,no_entry,win_rate_pct,average_return_pct,total_return_pct,profit_factor,expectancy_pct,maximum_drawdown_pct_points
LYFT,RED_MANIPULATION_ATR_RATIO_0_30,NON_FIB_CONTROL,0.427121,14,8,5,1,4,3,20.0,-0.38960100000000003,-1.9480050000000002,0.1391007249566458,-0.38960100000000003,2.262756
LYFT,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_38_2,0.382,14,6,3,0,3,3,0.0,-0.6158853333333334,-1.8476560000000002,0.0,-0.6158853333333334,1.8476560000000002
LYFT,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_50_0,0.5,14,6,3,0,3,3,0.0,-0.6158853333333334,-1.8476560000000002,0.0,-0.6158853333333334,1.8476560000000002
LYFT,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_61_8,0.618,14,6,3,0,3,3,0.0,-0.6158853333333334,-1.8476560000000002,0.0,-0.6158853333333334,1.8476560000000002
LYFT,RED_MANIPULATION_MIN_5_NEW_LOWS,NON_FIB_CONTROL,0.427121,14,6,3,0,3,3,0.0,-0.6158853333333334,-1.8476560000000002,0.0,-0.6158853333333334,1.8476560000000002
LYFT,RED_MANIPULATION_MIN_8_RED,FIB_38_2,0.382,14,6,4,1,3,2,25.0,-0.28310425,-1.132417,0.3189562939365527,-0.28310425,1.662767
LYFT,RED_MANIPULATION_MIN_8_RED,FIB_50_0,0.5,14,6,4,0,4,2,0.0,-0.51946675,-2.077867,0.0,-0.51946675,2.077867
LYFT,RED_MANIPULATION_MIN_8_RED,FIB_61_8,0.618,14,6,4,0,4,2,0.0,-0.51946675,-2.077867,0.0,-0.51946675,2.077867
LYFT,RED_MANIPULATION_MIN_8_RED,NON_FIB_CONTROL,0.427121,14,6,4,1,3,2,25.0,-0.352374,-1.409496,0.18254403226451893,-0.352374,1.724247
OPEN,ALL_COMPLETE,FIB_38_2,0.382,51,51,38,11,27,13,28.947368421052634,-0.010997552631578955,-0.4179070000000003,0.9740391912812404,-0.010997552631578955,5.44315
OPEN,ALL_COMPLETE,FIB_50_0,0.5,51,51,38,7,31,13,18.421052631578945,-0.1885742894736842,-7.165823,0.6213970677043933,-0.1885742894736842,7.599025000000001
OPEN,ALL_COMPLETE,FIB_61_8,0.618,51,51,38,7,31,13,18.421052631578945,-0.1316537894736842,-5.002844,0.7356770592550943,-0.1316537894736842,7.599025
OPEN,ALL_COMPLETE,NON_FIB_CONTROL,0.704253,51,51,38,8,30,13,21.052631578947366,-0.1111718157894737,-4.224529,0.7670735770620023,-0.1111718157894737,6.808764
OPEN,MANIPULATION,FIB_38_2,0.382,51,45,33,11,22,12,33.33333333333333,0.05106963636363636,1.6852979999999997,1.1204265475790827,0.05106963636363636,5.44315
OPEN,MANIPULATION,FIB_50_0,0.5,51,45,33,7,26,12,21.21212121212121,-0.15341266666666664,-5.062618,0.6990801547972876,-0.15341266666666664,7.599025000000001
OPEN,MANIPULATION,FIB_61_8,0.618,51,45,33,7,26,12,21.21212121212121,-0.0878678484848485,-2.899639,0.8276466999833391,-0.0878678484848485,7.599025
OPEN,MANIPULATION,NON_FIB_CONTROL,0.704253,51,45,33,8,25,12,24.242424242424242,-0.06428254545454545,-2.121324,0.8676946612190889,-0.06428254545454545,6.808764
OPEN,RED_AND_MANIPULATION,FIB_38_2,0.382,51,23,21,9,12,2,42.857142857142854,0.31838114285714286,6.686004,1.8926687321134246,0.31838114285714286,3.9685569999999997
OPEN,RED_AND_MANIPULATION,FIB_50_0,0.5,51,23,21,6,15,2,28.57142857142857,0.058011095238095244,1.2182330000000001,1.1253320458220148,0.058011095238095244,6.124432
OPEN,RED_AND_MANIPULATION,FIB_61_8,0.618,51,23,21,6,15,2,28.57142857142857,0.15063885714285716,3.1634160000000002,1.3254528477443106,0.15063885714285716,6.124432
OPEN,RED_AND_MANIPULATION,NON_FIB_CONTROL,0.704253,51,23,21,7,14,2,33.33333333333333,0.21904219047619047,4.599886,1.5151173326384302,0.21904219047619047,5.334171
OPEN,RED_CANDLE,FIB_38_2,0.382,51,27,25,9,16,2,36.0,0.20105467999999999,5.026367,1.5493572246567093,0.20105467999999999,3.9685569999999997
OPEN,RED_CANDLE,FIB_50_0,0.5,51,27,25,6,19,2,24.0,-0.017656159999999994,-0.44140399999999985,0.9612112149716675,-0.017656159999999994,6.124432
OPEN,RED_CANDLE,FIB_61_8,0.618,51,27,25,6,19,2,24.0,0.06015116,1.503779,1.132145971402889,0.06015116,6.124432
OPEN,RED_CANDLE,NON_FIB_CONTROL,0.704253,51,27,25,7,18,2,28.000000000000004,0.11760996,2.940249,1.2776591163633135,0.11760996,5.334171
OPEN,RED_MANIPULATION_ATR_RATIO_0_30,FIB_38_2,0.382,51,17,15,9,6,2,60.0,0.6516971333333333,9.775457,3.221466567525336,0.6516971333333333,3.206609
OPEN,RED_MANIPULATION_ATR_RATIO_0_30,FIB_50_0,0.5,51,17,15,6,9,2,40.0,0.2871790666666667,4.307686,1.6496684835484499,0.2871790666666667,5.152286999999999
OPEN,RED_MANIPULATION_ATR_RATIO_0_30,FIB_61_8,0.618,51,17,15,6,9,2,40.0,0.4168579333333334,6.2528690000000005,1.9430334339729294,0.4168579333333334,5.152286999999999
OPEN,RED_MANIPULATION_ATR_RATIO_0_30,NON_FIB_CONTROL,0.704253,51,17,15,7,8,2,46.666666666666664,0.5126226,7.689339,2.316593240450454,0.5126226,4.362026
OPEN,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_38_2,0.382,51,11,11,6,5,0,54.54545454545454,0.6273893636363636,6.901282999999999,2.958887195602236,0.6273893636363636,2.479914
OPEN,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_50_0,0.5,51,11,11,3,8,0,27.27272727272727,0.016548000000000007,0.18202800000000008,1.031639424445726,0.016548000000000007,3.859379
OPEN,RED_MANIPULATION_MIN_5_NEW_LOWS,FIB_61_8,0.618,51,11,11,3,8,0,27.27272727272727,0.07961163636363637,0.8757280000000001,1.1522157574164789,0.07961163636363637,3.859379
OPEN,RED_MANIPULATION_MIN_5_NEW_LOWS,NON_FIB_CONTROL,0.704253,51,11,11,4,7,0,36.36363636363637,0.3084499090909091,3.3929489999999998,1.6836569284220788,0.3084499090909091,3.069118
OPEN,RED_MANIPULATION_MIN_8_RED,FIB_38_2,0.382,51,22,20,8,12,2,40.0,0.27017915,5.403582999999999,1.7214488034227402,0.27017915,3.9685569999999997
OPEN,RED_MANIPULATION_MIN_8_RED,FIB_50_0,0.5,51,22,20,5,15,2,25.0,-0.02456014999999999,-0.4912029999999998,0.949464940693684,-0.02456014999999999,6.124432
OPEN,RED_MANIPULATION_MIN_8_RED,FIB_61_8,0.618,51,22,20,5,15,2,25.0,0.05134825,1.026965,1.1056543571201942,0.05134825,6.124432
OPEN,RED_MANIPULATION_MIN_8_RED,NON_FIB_CONTROL,0.704253,51,22,20,6,14,2,30.0,0.1502016,3.004032,1.336405935060236,0.1502016,5.334171
PINS,ALL_COMPLETE,FIB_38_2,0.382,52,52,30,9,21,22,30.0,-0.040567200000000005,-1.217016,0.8808361024459219,-0.040567200000000005,3.6570410000000004
PINS,ALL_COMPLETE,FIB_50_0,0.5,52,52,30,9,21,22,30.0,0.0526796,1.580388,1.1547434000273575,0.0526796,2.7196100000000007
PINS,ALL_COMPLETE,FIB_61_8,0.618,52,52,30,5,25,22,16.666666666666664,-0.2109433,-6.328299,0.5184090624922234,-0.2109433,7.285314
PINS,ALL_COMPLETE,NON_FIB_CONTROL,0.486389,52,52,30,8,22,22,26.666666666666668,-0.06231813333333333,-1.8695439999999999,0.8276835546327054,-0.06231813333333333,5.714742
PINS,MANIPULATION,FIB_38_2,0.382,52,48,27,9,18,21,33.33333333333333,-0.012630555555555556,-0.341025,0.9634758306979311,-0.012630555555555556,2.825355
PINS,MANIPULATION,FIB_50_0,0.5,52,48,27,9,18,21,33.33333333333333,0.090977,2.456379,1.2630810130226429,0.090977,2.145238
PINS,MANIPULATION,FIB_61_8,0.618,52,48,27,5,22,21,18.51851851851852,-0.20193733333333336,-5.452308,0.5554366568898697,-0.20193733333333336,6.409323
